ticker,composite_score
AMZN,1.7366545287821156
KEYS,1.3206713251565383
APD,0.6731112499142125
KDP,0.6365153706045926
COST,0.6307175178146127
CMS,0.5520816023747084
AN,0.4956389627348332
JPM,0.47212799758606183
ANF,0.44748452661205995
KO,0.419170602074019
CNP,0.3787549253563671
KR,-0.2857064972784083
KG,-0.3125054750523191
KMI,-0.37094316072699257
CNC,-0.383630888241538
A,-0.5841093719935416
IVZ,-0.6080570962332071
AA,-0.6428238189242178
JBHT,-0.9183188115185781
KSS,-1.6116468875859893
CNX,-1.616919673468626
KKR,-1.676341373011165
