ticker,composite_score
CNC,2.9256856196891508
AOS,1.710163831162951
JBL,1.122386819559083
AMZN,0.9200655188588518
KR,0.8612733857071342
KMX,0.8263256424840563
AON,0.6033405185128669
COR,0.5432091329308647
JPM,0.5366757230409416
ANET,0.44111302706698174
KDP,0.3348939256177215
KIM,-0.2987201424078118
IVZ,-0.3084098275520017
CMI,-0.34102230531184896
CNP,-0.5843168424242806
KSS,-0.6653756389505302
COP,-0.7579987703472018
AAL,-1.2973326146944597
AA,-1.3258353162882348
APA,-1.700618748133225
ANF,-1.8179436871045846
CNX,-1.8613067134074612
