ticker,composite_score
ANF,1.9657224676352785
KSS,1.9015181806390795
AMZN,1.856868113938452
ANET,1.7157891970099248
KDP,1.5721197099754316
AN,1.1687000383526012
KKR,0.8164750380406853
KR,0.542710384806695
JPM,0.40968238123393896
KEYS,0.3535842739027578
COP,0.2875941212544658
IVZ,-0.72897411637868
JNJ,-0.7681815113248054
CNP,-0.8610257731244956
CNX,-0.9070110844348909
KHC,-0.9083335495390052
KMI,-0.9134024744357891
KG,-0.9347414392076637
KMB,-1.0819397111212496
CMS,-1.2733216101279945
JBL,-1.3759978080297055
KIM,-1.989294797690587
