ticker,composite_score
ANF,2.9560516863732555
KEYS,1.4600797560140997
COP,1.2128379244657799
KSS,1.0910138512964132
KDP,0.866276805094891
CNC,0.7405791815653986
APA,0.5803449806689023
AMZN,0.4017042493873649
JBL,0.38398578212762813
CMS,0.35514782721057025
KG,0.2392859928453558
CMI,-0.467332911562409
APH,-0.4743157274076456
IVZ,-0.47501149473194076
KKR,-0.48566141748315617
KEY,-0.6035059609616753
AN,-0.763598468510359
COR,-0.8937696484904558
KIM,-1.0178565361214054
KR,-1.0356706697731204
KMI,-1.222237328661867
KHC,-1.2530883005956892
