ticker,composite_score
CNC,2.134262575084521
ANET,1.985164383405438
KG,1.9556734772068487
AMZN,1.0916319164907298
AOS,1.0481903702880744
JPM,0.8399148890946586
KEY,0.7619629411907075
APH,0.5849459970668424
KR,0.5430941893650815
AN,0.48156182480774956
AON,0.2979247009064542
A,-0.43654651096325614
CMS,-0.45538601123871025
KMI,-0.5083522701215855
KLAC,-0.5585925520173861
KIM,-0.5807611464608627
APA,-0.6114357678245341
AAL,-0.6990676319429032
CNP,-0.7533577667038216
JBL,-0.8606432872661689
AA,-1.5135181022694026
CNX,-2.6503828563759377
