date,price,volume
2007-02-26,69.61848449707031,306300.0
2007-02-27,67.78652954101562,486300.0
2007-02-28,67.80349731445312,575600.0
2007-03-01,67.52079010009766,664400.0
2007-03-02,66.87623596191406,332800.0
2007-03-05,65.9320297241211,425000.0
2007-03-06,66.89887237548828,443700.0
2007-03-07,66.19208526611328,269400.0
2007-03-08,66.40696716308594,486500.0
2007-03-09,66.40129089355469,370800.0
2007-03-12,66.1581802368164,478200.0
2007-03-13,64.25277709960938,764600.0
2007-03-14,64.47893524169922,848700.0
2007-03-15,65.16307830810547,497600.0
2007-03-16,65.58712005615234,996700.0
2007-03-19,65.76805114746094,611500.0
2007-03-20,66.20343017578125,261300.0
2007-03-21,67.68476104736328,537300.0
2007-03-22,66.87059783935547,514200.0
2007-03-23,67.03458404541016,206200.0
2007-03-26,66.67269897460938,224500.0
2007-03-27,65.98856353759766,203300.0
2007-03-28,65.34400939941406,517000.0
2007-03-29,65.79633331298828,413800.0
2007-03-30,65.49098205566406,415700.0
2007-04-02,59.9047737121582,2196700.0
2007-04-03,60.08573532104492,1106300.0
2007-04-04,59.14150619506836,878600.0
2007-04-05,59.92742156982422,627700.0
2007-04-09,59.520328521728516,574600.0
2007-04-10,59.983943939208984,571900.0
2007-04-11,59.57118606567383,530500.0
2007-04-12,59.16411209106445,683400.0
2007-04-13,59.86520004272461,589400.0
2007-04-16,60.82075881958008,597800.0
2007-04-17,61.69712829589844,981100.0
2007-04-18,63.38200378417969,1118400.0
2007-04-19,63.642112731933594,856200.0
2007-04-20,64.2245101928711,642300.0
2007-04-23,63.3876953125,529500.0
2007-04-24,63.38200378417969,569500.0
2007-04-25,63.93047332763672,480900.0
2007-04-26,63.562965393066406,423900.0
2007-04-27,63.11064910888672,792300.0
2007-04-30,62.95234298706055,896700.0
2007-05-01,63.2802619934082,559300.0
2007-05-02,63.642112731933594,293800.0
2007-05-03,63.919193267822266,296700.0
2007-05-04,64.24146270751953,320800.0
2007-05-07,64.16228485107422,299500.0
2007-05-08,63.74956512451172,378700.0
2007-05-09,63.93613815307617,398000.0
2007-05-10,62.98062515258789,425200.0
2007-05-11,63.35376739501953,358900.0
2007-05-14,63.16151809692383,383000.0
2007-05-15,62.84488296508789,453100.0
2007-05-16,63.393333435058594,444900.0
2007-05-17,63.557315826416016,395800.0
2007-05-18,63.72127914428711,377800.0
2007-05-21,63.85698318481445,487900.0
2007-05-22,63.95310592651367,492700.0
2007-05-23,63.81175994873047,378100.0
2007-05-24,62.74877166748047,579800.0
2007-05-25,62.618736267089844,413000.0
2007-05-29,62.69224166870117,512000.0
2007-05-30,62.95942306518555,515500.0
2007-05-31,62.77750015258789,662700.0
2007-06-01,63.29481506347656,669900.0
2007-06-04,62.85142135620117,503000.0
2007-06-05,61.97026824951172,564100.0
2007-06-06,61.509803771972656,542700.0
2007-06-07,60.99251174926758,600200.0
2007-06-08,62.28861999511719,639000.0
2007-06-11,62.254520416259766,348000.0
2007-06-12,60.95266342163086,689200.0
2007-06-13,62.27724075317383,511200.0
2007-06-14,61.86225128173828,654500.0
2007-06-15,61.82246017456055,517800.0
2007-06-18,61.78266525268555,557100.0
2007-06-19,62.1862678527832,461400.0
2007-06-20,61.19712448120117,620800.0
2007-06-21,61.69170379638672,512000.0
2007-06-22,60.793495178222656,657000.0
2007-06-25,60.70255661010742,477100.0
2007-06-26,60.946998596191406,480300.0
2007-06-27,61.61781311035156,552500.0
2007-06-28,61.58369445800781,310400.0
2007-06-29,60.77077865600586,564800.0
2007-07-02,61.70307922363281,390000.0
2007-07-03,62.07829666137695,249500.0
2007-07-05,61.418819427490234,388300.0
2007-07-06,61.79403305053711,412100.0
2007-07-09,61.37335205078125,537300.0
2007-07-10,60.56612014770508,755200.0
2007-07-11,61.24260330200195,817000.0
2007-07-12,63.52222442626953,1260700.0
2007-07-13,63.510860443115234,535400.0
2007-07-16,63.73824691772461,414900.0
2007-07-17,64.06228637695312,806100.0
2007-07-18,62.81731033325195,886300.0
2007-07-19,62.9537239074707,789200.0
