ticker,composite_score
AKAM,3.0
BKNG,2.869525288774427
CRM,2.624705930843297
IT,2.5286493384147395
INTU,2.0625898134066825
MOS,2.0583175294408833
ERIE,1.9818836199064727
CMS,1.8745174801552817
CF,1.8682875837213495
NEM,1.8417287270205684
FFIV,1.793309494032161
TPL,1.7908941401773564
ADM,1.7528437061668485
CMG,1.6971426247546413
AEE,1.6768834892931634
DVA,1.5651867276558935
TDG,1.5058813124696946
MNST,1.5041585942020683
CTSH,1.4930915835393574
NI,1.4657062476967975
AAP,1.4402145553762087
DLTR,1.4255640929821136
SW,1.3832695382744267
MCD,1.3366130142450974
ES,1.3083069775136211
MKTX,1.2982509820706807
EBAY,1.2853495900253553
AVB,1.2580121971072296
SO,1.238627818466921
WEC,1.2231972363002686
BSX,-1.2798598455799548
IRM,-1.2835584358533576
BLK,-1.3222803532838274
RHI,-1.3227026881356547
IP,-1.327634446082751
GHC,-1.3419719946317519
WFC,-1.348073149452645
RRC,-1.3486083195252758
FHN,-1.354616262107524
LULU,-1.357680639344029
TER,-1.3716511182462643
DXC,-1.3815383275381223
TXT,-1.5074110292539713
AXON,-1.5251465827734076
MU,-1.6096456542351905
SCHW,-1.6221452214621541
MDT,-1.6317632226381529
TTWO,-1.6447894202815432
HPQ,-1.6464879213884565
CNX,-1.6471143878195251
WDC,-1.6524219608492743
ISRG,-1.7461474455706698
VMC,-1.8046327275929306
BKR,-1.8147032899525433
HRB,-2.04651087133247
NYT,-2.1408560275988116
STX,-2.56189930292558
JBL,-2.686217758045604
AMD,-2.750238826860272
CRH,-2.84005104203589
