ticker,composite_score
AMD,3.0
NYT,3.0
MU,3.0
JBL,3.0
DAL,2.730539111280774
NVDA,2.552991743633453
AA,2.2833506790650375
STX,2.239840602896914
ATI,2.175972189396591
LULU,2.1604574583456344
KMX,2.1397095458112654
REGN,2.1074052849468377
LUV,2.0740475563567995
CRM,1.961509871233755
AIV,1.9600066938213287
WDC,1.9352248687240787
TER,1.8166864822484055
INCY,1.7840207497213685
LYV,1.6789655163624904
CBRE,1.6678427988014626
F,1.61526402716166
NTAP,1.480762306292442
ARE,1.4602305335456016
FFIV,1.4238360343743155
ULTA,1.3497090190549768
ISRG,1.2893625309156438
SW,1.168689750517854
WHR,1.1397571339180512
AVB,1.1387167090988526
OKE,1.129724950323649
CDNS,-0.9709870156339448
BAC,-0.972188814908528
TJX,-0.9732772961309978
HSY,-0.9877155081185168
WTW,-0.9974039053119936
ITT,-1.0098433980954296
USB,-1.0169975838187708
MMC,-1.0231940698714495
ORLY,-1.0346426418577988
ILMN,-1.0613451796107558
BRO,-1.0858313057591915
AON,-1.0990403422562427
ROST,-1.1033558000688757
NRG,-1.1101008972011714
LMT,-1.1486661478795943
HOG,-1.229260462160275
ANF,-1.2711777983378054
MS,-1.2904573862848412
MUR,-1.3202797396810797
BBY,-1.3299521204069933
ZION,-1.4780470484796309
CTAS,-1.4943712502359174
NEM,-1.506557495518748
GILD,-1.5614891654321772
TTWO,-1.573993705837481
STE,-1.633503389836105
XOM,-1.6544098224220212
KEY,-1.6776860201593402
KR,-1.8016908896418329
IRM,-1.8568069388485144
