ticker,composite_score
TPL,3.0
URI,2.900288337677101
FTNT,2.3656244853352444
KMX,2.3275371634007036
ULTA,2.3224169554011516
INCY,2.303472537161835
NTAP,2.2141630988613716
LULU,2.1867390848642314
CMI,2.1775131649235235
BKNG,2.141442156663018
PVH,2.091399736994937
FFIV,2.0866814838908163
BWA,1.8888326908074937
AMZN,1.805260910289174
TRMB,1.8010616197952536
EXPE,1.6698455812794324
WSM,1.6286687029400837
TMUS,1.6125796450820349
CAT,1.5851409709141668
EW,1.481507869732905
CMG,1.479903752082794
EMN,1.4543551988381105
KLAC,1.4512989791613342
BBY,1.4228391121019357
SWKS,1.3460529313336913
TSCO,1.3449567448180142
TDC,1.3244632213664678
AKAM,1.2647700027952333
ALGN,1.207032387469253
JBL,1.1788288837014365
LMT,-1.1178281544219835
JCI,-1.1304242633970873
USB,-1.1383634227707669
URBN,-1.1400866737230735
STLD,-1.140268485644195
MSFT,-1.1412543178248953
CTRA,-1.1427060781383693
CME,-1.1441042957219991
CAG,-1.1601237249945844
NRG,-1.1674136258825563
CPB,-1.1816671859268666
LII,-1.203374521208774
ETR,-1.2382285293263924
MDT,-1.2437938678916092
MTB,-1.2489263825330652
WST,-1.2694275261259804
TKO,-1.3078259439707964
BAC,-1.3103615429723687
CPRT,-1.3171917923062728
PNC,-1.3277552460089481
TSN,-1.3321293100539688
MAS,-1.3740167031545467
AXON,-1.4430316307776168
MS,-1.4652029241666882
NYT,-1.5104546422830212
CRH,-1.6013388721762192
VMC,-1.836496736855779
HRB,-1.8554316863167504
MPWR,-1.892951016325767
ADBE,-2.248830269792003
