ticker,composite_score
ULTA,2.7976637456590425
UHS,2.6736267101974773
LULU,2.5845362279590054
CMG,2.486427305598342
KDP,2.4552078529150423
AAP,2.4004242413595387
DAL,2.3986564109565895
REGN,2.360192230382936
TMUS,2.300709896587215
AKAM,2.231510804352207
DECK,2.1963331369897845
WSM,2.133730698693469
NTAP,2.0692356304704767
FFIV,2.05819973808062
ORLY,1.9198044387717639
ATI,1.9056554531202725
HAS,1.7459657385044944
EQR,1.7075688528024127
PRGO,1.6331026886400268
CRM,1.6300256391705796
EXR,1.601459861211869
MCK,1.5987316087939862
TLAB,1.5877379453819587
TDC,1.5853499316642234
TSCO,1.5532636694170345
UDR,1.5252342720536312
DLTR,1.479813556387137
AZO,1.4793017247303442
IT,1.452018018472038
INCY,1.4159669043697736
FLS,-1.2358519895796445
GILD,-1.2397151141558747
SCHW,-1.272026098209694
AA,-1.276214391901544
WDC,-1.281291820969414
HOLX,-1.2943321723077523
MAS,-1.298974957325818
STT,-1.3088498736266865
AES,-1.3458487735665794
STX,-1.3538677755504795
SPGI,-1.4604733910794947
BAX,-1.4743618786748756
NVDA,-1.5675381774638333
FIX,-1.6444659737145293
V,-1.6587947034001789
IVZ,-1.6808245230456564
BR,-1.681806778458575
MA,-1.6881370696213085
MCO,-1.759861272639891
CRH,-1.7606109254956315
HAL,-1.765198533053586
SLB,-1.7871021675882302
BSX,-1.8470501345652262
FSLR,-1.908150783045845
CNX,-1.943743726904183
MPWR,-1.9711160978111957
BKNG,-1.9761902417915507
CF,-2.0087684684494747
BKR,-2.040455037125886
BX,-2.3665171181956355
