date,period_return,cumulative_return,portfolio_value,portfolio_value_change,num_bought,num_sold,bought_tickers_scores,sold_tickers_scores,bought_avg_score,sold_avg_score
2009-01-01,-0.07588333682664924,-0.07588333682664927,0.9241166631733507,-0.07588333682664927,18,0,KMX:-0.5872 | JNJ:0.3507 | APA:-0.5295 | KEY:-0.9791 | A:-1.5495 | APH:-0.4225 | KIM:0.8408 | COR:0.9187 | CMI:-0.5929 | AA:-0.8566 | AMZN:0.6815 | AON:0.5607 | AAL:2.2956 | CNC:0.8228 | KSS:0.5767 | JBL:-0.4898 | CNX:-1.0653 | AN:0.7838,None,0.042168552522421625,
2009-01-31,-0.013402490699526419,-0.08826880181010743,0.9117311981898926,-0.012385464983458161,6,6,IVZ:-0.8484 | ANF:-1.5665 | JPM:-0.5376 | KMB:0.6408 | CNP:1.2071 | CMS:1.5934,AON:0.5607 | AAL:2.2956 | KMX:-0.5872 | CNC:0.8228 | APA:-0.5295 | AN:0.7838,0.08144051401680126,0.5576992843135332
2009-03-02,0.2257895357538809,0.11759056216151786,1.1175905621615179,0.2058593639716253,10,8,KO:0.5954 | AAL:-2.0585 | KMX:1.0680 | AON:0.9740 | CNC:0.6425 | APA:-0.6571 | COP:-0.7461 | KG:0.7523 | AN:1.3787 | KLAC:-0.4105,IVZ:-0.8484 | JNJ:0.6596 | KEY:-0.6994 | CNX:-0.6611 | APH:0.5781 | JPM:-0.5376 | KMB:0.6408 | COR:1.0850,0.1538573416520229,0.027109414252437722
2009-04-01,0.13540635150064825,0.2689194226553675,1.2689194226553675,0.15132886049384964,7,7,IVZ:0.4426 | CNX:-1.3942 | JBHT:0.3887 | APD:0.5767 | KMB:-0.4277 | AOS:-0.5779 | KDP:0.5263,KO:0.5954 | AON:0.9740 | CNC:0.6425 | APA:-0.6571 | KG:0.7523 | CMI:-0.7533 | KLAC:-0.4105,-0.06650883802767268,0.16331234773608286
2009-05-01,-0.012992964809286491,0.2524323972509863,1.2524323972509863,-0.016487025404381184,10,10,KO:-0.5243 | CNC:-0.4172 | JNJ:-0.6339 | COST:-0.4092 | KR:-0.6016 | KEY:-1.7709 | APH:0.3551 | JPM:0.4429 | CMI:0.5161 | KLAC:1.1044,AAL:-1.8092 | KMX:1.5790 | KSS:1.0204 | CNX:-1.3942 | A:-0.4398 | JBHT:0.3887 | ANF:-0.3760 | APD:0.5767 | KMB:-0.4277 | CMS:0.3179,-0.19385106090199047,-0.05641982710567284
2009-05-31,-0.025233508903756974,0.22082913320359987,1.2208291332035999,-0.03160326404738645,10,10,AON:-1.0143 | AAL:-2.9023 | KMX:-0.4517 | APA:0.8152 | CNX:1.8496 | A:-0.3796 | JBHT:0.7643 | KG:0.9366 | ANF:0.7602 | COR:0.6028,IVZ:-0.3545 | JNJ:-0.6339 | COST:-0.4092 | JBL:0.8617 | KR:-0.6016 | COP:-0.8110 | APH:0.3551 | CMI:0.5161 | KLAC:1.1044 | AMZN:0.5946,0.09806918734318944,0.06217500841241987
2009-06-30,0.1257002325029083,0.3742876390936163,1.3742876390936163,0.15345850589001642,6,6,IVZ:0.9742 | COST:-0.6530 | KR:-0.5360 | COP:-0.8533 | CMI:0.6699 | AMZN:0.8218,KO:0.7992 | AON:-1.0143 | JBHT:0.7643 | COR:0.6028 | KDP:0.5145 | CNP:-0.5623,0.07057989604072334,0.1840219692968307
2009-07-30,0.1343378385489447,0.5589064700739848,1.5589064700739848,0.18461883098036846,0,0,None,None,,
2009-08-29,0.11319365038226628,0.7353647840261923,1.7353647840261923,0.17645831395220757,7,7,KO:-0.5761 | AON:-0.7833 | JBL:1.2023 | JBHT:-1.4032 | APD:0.5741 | KDP:0.6105 | KLAC:1.4930,APA:-0.9697 | AA:0.3355 | CNX:-0.8534 | A:0.4483 | ANF:-0.8538 | JPM:-0.3607 | AMZN:0.8218,0.15964004237593413,-0.20456811080435494
2009-09-28,0.02271042123927825,0.7747756492752365,1.7747756492752365,0.039410865249044136,6,6,JNJ:-0.6580 | APA:-0.4272 | A:0.8275 | ANF:0.9176 | JPM:0.9533 | AMZN:-0.8124,AON:-0.7833 | AAL:-0.6328 | KEY:-0.9005 | APD:0.5741 | AOS:0.9204 | KLAC:1.4930,0.13345935768279327,0.11183978615310587
2009-10-28,-0.0026709707683087204,0.7700352753957163,1.7700352753957163,-0.004740373879520199,9,9,AON:-1.1178 | AAL:1.2947 | KLAC:0.9411 | KEY:-1.2476 | CNX:1.0225 | KMB:-0.7421 | CNP:-0.7562 | CMS:-0.6774 | AA:0.3703,KO:-0.8264 | COST:-0.4664 | APA:-0.4272 | KG:0.4948 | JBHT:-0.6859 | ANF:0.9176 | KIM:1.1446 | JPM:0.9533 | CMI:0.8287,-0.10138557955274903,0.21480372047204827
2009-11-27,0.09145079089909161,0.9319064012499458,1.9319064012499458,0.16187112585422958,5,5,KSS:0.3437 | APA:0.3490 | JBHT:-0.5123 | APH:0.6687 | AOS:0.4997,IVZ:0.6547 | CNX:1.0225 | KDP:0.5508 | CNP:-0.7562 | AA:0.3703,0.2697562124842786,0.36841608265322817
2009-12-27,0.006562587624243964,0.9445847062899864,1.9445847062899864,0.012678305040040527,8,8,CNX:0.3372 | KG:0.3610 | ANF:2.0969 | KIM:-0.8286 | APD:0.2787 | COR:0.8182 | KDP:-0.8937 | AA:-0.4004,KMX:0.5593 | JNJ:-0.4528 | APA:0.3490 | COP:0.7293 | JBHT:-0.5123 | APH:0.6687 | AOS:0.4997 | CMS:-0.1883,0.22114313894833737,0.20656635802728723
2010-01-26,-0.03953477506674199,0.8677059873285853,1.8677059873285853,-0.07687871896140108,6,6,KMX:1.6092 | COP:-0.5792 | JBHT:-0.6236 | APH:0.5693 | JPM:-0.7673 | CNP:0.3262,CNC:-0.6941 | KIM:-0.8286 | APD:0.2787 | COR:0.8182 | KDP:-0.8937 | AN:-0.8042,0.0891041672919088,-0.35397614748235107
2010-02-25,0.1347490880063047,1.1193776657850272,2.119377665785027,0.2516716784564419,8,8,IVZ:-1.2178 | CNC:-0.5444 | APA:0.1990 | COR:1.3894 | AOS:0.4125 | KDP:0.2164 | AN:-0.4680 | CMS:0.4142,AON:-1.0477 | KMX:1.6092 | KR:-1.5780 | COP:-0.5792 | CNX:0.3292 | A:0.5239 | JBHT:-0.6236 | KMB:-0.5935,0.05017557977709869,-0.2449772818015638
