ticker,composite_score
LYV,3.0
INCY,2.776288785626184
DPZ,2.603301862061918
ZION,2.3174348146266714
F,2.21688808504748
ISRG,2.2046306001798595
CMA,2.188621673155331
LEN,2.178571279765907
DAL,2.1640016053925026
REGN,2.1194130958042874
PRGO,2.060073470464746
IT,2.0034292133814287
NYT,1.979741556924647
ULTA,1.9497804646208403
AXON,1.947937305576054
KEY,1.922391534920201
HUM,1.870501789809874
EL,1.8658883832487512
ALGN,1.659357786184549
BA,1.6021842953806824
MTB,1.513881431658948
SW,1.4041072100363612
ELV,1.3733286791516095
USB,1.2944626616234822
COR,1.242178623239216
ILMN,1.1642871226576066
BKR,1.1575266570486988
UNH,1.1532692301097265
O,1.1432867257956012
MRK,1.1046359600505549
NEE,-1.0691904737727245
EXPE,-1.1279439094408306
AMAT,-1.1283582573336783
IBKR,-1.146168017406172
MS,-1.1670507601963271
FCX,-1.1820798796035583
GPN,-1.2003533911833182
STLD,-1.2064718165975257
NDAQ,-1.2314644421709398
GS,-1.2427477094808088
CME,-1.257660902598782
MLM,-1.2591297954770457
NUE,-1.278084989328537
MPWR,-1.3074307414992603
ODFL,-1.3163632095969344
ICE,-1.346291913839052
AA,-1.3685952819659832
EA,-1.4089696548921233
URI,-1.4414649846439715
IVZ,-1.4462663330121655
ON,-1.4641399044476977
VMC,-1.5608397881596283
TPL,-1.6054349319164791
QCOM,-1.6624660321808569
PWR,-1.7076379006389355
KLAC,-1.9743428919807622
MSI,-2.196261938311183
FSLR,-2.215323957148012
BBT,-2.3677035786205467
TMUS,-2.9480027767908736
