ticker,composite_score
AN,2.773293981417653
DRI,2.043072574690685
BBY,2.0126913093188614
KMX,1.8446412748240166
WDC,1.8310872079370775
RJF,1.6184391410182426
SWKS,1.5068857805000664
AZO,1.4927189027310788
CME,1.4405782729770356
AMD,1.3616484702653084
CMG,1.3610568913646568
BR,1.353078161319336
ICE,1.3440138039824054
ROST,1.3264904444952104
PVH,1.3079207932323693
MU,1.292661628720993
BLK,1.2754240563682624
TMUS,1.2312900594437621
BX,1.2213063692651114
DLTR,1.2182647790237322
TLAB,1.2077182497762449
ILMN,1.1927455628779848
FHN,1.1743931086546509
BK,1.1611566934012107
AMZN,1.12861559914823
BMY,1.1272751707051438
MNST,1.1158888751991507
ORLY,1.0889854831020485
GLW,1.08810039653516
CTAS,1.0825153649689137
STZ,-1.1416089885290586
GD,-1.1695032381806438
HP,-1.18353259429969
NRG,-1.2024046468385428
SLM,-1.2109917178553191
MCK,-1.2125582736162293
TT,-1.2310997010155231
BKR,-1.2369928350476505
FE,-1.2715289114484083
VNO,-1.2762646714637202
HST,-1.3003915619690372
HAL,-1.397078435625085
TFX,-1.4058034920524431
RSG,-1.432438918194049
BXP,-1.4328015672902028
ZION,-1.468662326658297
URI,-1.497973416643723
INCY,-1.522382495903216
CNX,-1.5466810510710973
AIV,-1.5803848470533923
AES,-1.580719887190697
COF,-1.5910868298599168
EXR,-1.6244129692673823
ARE,-1.6245561649176679
LHX,-1.7364271399041284
TXT,-1.8757750132015392
XRX,-1.8868668028168716
WYNN,-2.0017622919627955
KIM,-2.454491091442099
LYV,-2.960602679186207
