ticker,composite_score
AMD,3.0
BKNG,3.0
INCY,3.0
F,2.599785537720482
WYNN,2.5940015596754478
AXP,2.333327099758395
DD,2.0918307198610586
AMZN,1.9256321569960915
IP,1.9149707806173561
ANF,1.9088747705935714
CCI,1.871653078640211
HOG,1.7998085520948517
ISRG,1.7359244077801699
TXT,1.7206930848022945
STLD,1.6351142260736056
PNC,1.5366681937986764
CTSH,1.4773481650433533
NTAP,1.476165912141728
NEM,1.4718662253982857
TKO,1.4598387235145558
FCX,1.4529035435022604
EMN,1.4141090953122761
EXPE,1.4138151523108098
WBD,1.4065354746423222
FDX,1.3968522948843516
SBUX,1.3598187504390182
A,1.3587492149671019
TT,1.325712660585298
SLM,1.2958529662974394
LULU,1.2790875115164608
GHC,-1.2270466323635931
STT,-1.2417094372996318
ODFL,-1.2498664104154609
MNST,-1.2580866729731515
TPL,-1.2825599822607971
RHI,-1.2858807755457615
HSIC,-1.2859297065270419
MCO,-1.2962878990137758
RRC,-1.3099340671251662
PHM,-1.3196546024605378
TAP,-1.342192600315036
BRO,-1.348992222235771
MUR,-1.427063064216171
IRM,-1.453548228276322
TLAB,-1.5210819638864845
NTRS,-1.5243136577041516
HSY,-1.5323993119084836
DHI,-1.6171618834362453
FLR,-1.6184360727456077
POOL,-1.624168341596576
FICO,-1.6787122933493377
ZION,-1.684026983751823
FSLR,-1.8405840896607724
TMUS,-1.843049287113959
CVS,-2.0003783294361774
BBT,-2.012451538350475
EA,-2.0240222906756964
VLO,-2.3350460371140827
PWR,-2.3623513318267246
ILMN,-2.4145177657382373
